Î±_n,Î²_n and Î·
0.015637470905482898,0.015392189234865787
0.0010976697115897855,0.018118271985527956
-0.000791513873033027,0.017940785434537584
-0.0003291962788118087,0.01769964595571843
-0.00012347015587491842,0.01761040154983528
-5.923662062192413e-5,0.01757158457833957
-3.3613019432693456e-5,0.01755063790142304
-2.1057361143545623e-5,0.017537845444160857
-1.4102017705226928e-5,0.01752940755151119
-9.919472449169899e-6,0.01752353136964117
-7.247600005074752e-6,0.01751926793284237
-5.458754315094613e-6,0.01751607316823318
-4.2151006035299685e-6,0.01751361575179195
-3.323232758355621e-6,0.01751168406986114
-2.6667755990401974e-6,0.017510137616534138
-2.1727568238066874e-6,0.01750888003257714
-1.7937992750310765e-6,0.017507843397139875
-1.4982125254477119e-6,0.017506978692230425
-1.2642436477870115e-6,0.01750624980852978
-1.0766187724705733e-6,0.01750562966201703
-9.24396283448134e-7,0.01750509761099402
-7.995968717103719e-7,0.01750463769771621
-6.963076335628378e-7,0.017504237426426903
-6.100832000933629e-7,0.017503886898331072
-5.375374494886662e-7,0.01750357818896962
-4.760601439147104e-7,0.017503304893260442
-4.236170504643734e-7,0.017503061788459683
-3.786068479257401e-7,0.017502844581325918
-3.3975728204720806e-7,0.01750264971624999
-3.0604885793705794e-7,0.004275364823468726
